shot_id,game_id,player_name,shot_type,shot_zone_basic,shot_distance,shot_made_flag,result,period,minutes_remaining,loc_x,loc_y
289,002200118,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,3,7,127,120
1036,002200167,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),2,0,Missed,1,1,-11,125
535,002200133,Stephen Curry,3PT Field Goal,Left Corner 3,26,0,Missed,1,0,27,353
346,002200122,Stephen Curry,3PT Field Goal,Left Corner 3,26,1,Made,4,7,-13,134
1075,002200170,Stephen Curry,2PT Field Goal,Mid-Range,8,1,Made,1,0,-95,66
782,002200149,Stephen Curry,2PT Field Goal,Restricted Area,6,1,Made,4,5,54,101
303,002200119,Stephen Curry,3PT Field Goal,Above the Break 3,28,1,Made,4,0,149,395
754,002200147,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),3,1,Made,4,2,120,188
536,002200133,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,3,10,61,434
76,002200106,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,3,4,-182,98
405,002200125,Stephen Curry,3PT Field Goal,Above the Break 3,29,1,Made,1,6,203,200
1308,002200104,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),21,0,Missed,2,8,190,187
915,002200158,Stephen Curry,2PT Field Goal,Restricted Area,8,0,Missed,4,3,117,147
551,002200134,Stephen Curry,3PT Field Goal,Above the Break 3,26,1,Made,3,0,70,190
1221,002200180,Stephen Curry,2PT Field Goal,Restricted Area,1,0,Missed,1,10,159,197
43,002200104,Stephen Curry,3PT Field Goal,Above the Break 3,22,1,Made,1,2,-247,34
259,002200117,Stephen Curry,3PT Field Goal,Above the Break 3,26,0,Missed,1,10,209,0
115,002200108,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,2,9,-223,77
585,002200136,Stephen Curry,3PT Field Goal,Above the Break 3,28,0,Missed,4,5,-124,274
1046,002200168,Stephen Curry,2PT Field Goal,Mid-Range,8,1,Made,4,5,191,175
78,002200106,Stephen Curry,3PT Field Goal,Right Corner 3,31,1,Made,1,9,-118,162
49,002200104,Stephen Curry,3PT Field Goal,Left Corner 3,30,1,Made,3,6,226,169
367,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,1,5,242,197
1054,002200168,Stephen Curry,2PT Field Goal,Restricted Area,11,0,Missed,1,0,-197,201
1029,002200166,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),8,0,Missed,2,4,154,91
624,002200138,Stephen Curry,3PT Field Goal,Above the Break 3,24,1,Made,2,9,41,244
390,002200124,Stephen Curry,3PT Field Goal,Left Corner 3,24,1,Made,1,11,-177,7
316,002200120,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,11,37,127
1006,002200165,Stephen Curry,2PT Field Goal,Restricted Area,3,1,Made,4,8,-220,134
869,002200155,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),4,0,Missed,4,2,151,174
1032,002200167,Stephen Curry,2PT Field Goal,Mid-Range,21,1,Made,3,2,-182,3
358,002200123,Stephen Curry,3PT Field Goal,Above the Break 3,31,1,Made,3,3,-63,56
1001,002200164,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),17,0,Missed,4,10,-1,17
394,002200125,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,1,7,-150,415
233,002200115,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,2,5,181,443
67,002200105,Stephen Curry,3PT Field Goal,Left Corner 3,33,0,Missed,2,0,-83,329
296,002200119,Stephen Curry,3PT Field Goal,Above the Break 3,24,1,Made,3,5,-209,287
168,002200111,Stephen Curry,3PT Field Goal,Right Corner 3,26,1,Made,2,9,135,194
867,002200155,Stephen Curry,2PT Field Goal,Mid-Range,15,0,Missed,4,11,-134,40
934,002200160,Stephen Curry,2PT Field Goal,Mid-Range,2,0,Missed,2,6,-207,9
1057,002200168,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),9,1,Made,1,1,-118,40
51,002200104,Stephen Curry,3PT Field Goal,Above the Break 3,29,0,Missed,3,11,120,142
265,002200117,Stephen Curry,3PT Field Goal,Right Corner 3,23,1,Made,4,6,-28,183
196,002200113,Stephen Curry,3PT Field Goal,Above the Break 3,22,1,Made,2,4,-15,184
901,002200157,Stephen Curry,2PT Field Goal,Restricted Area,12,1,Made,4,11,-194,25
32,002200103,Stephen Curry,3PT Field Goal,Left Corner 3,25,0,Missed,3,3,238,416
922,002200159,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),7,1,Made,3,11,-87,143
552,002200134,Stephen Curry,3PT Field Goal,Above the Break 3,30,0,Missed,2,1,-147,270
903,002200157,Stephen Curry,2PT Field Goal,Mid-Range,15,1,Made,4,9,-186,78
1251,002200100,Stephen Curry,2PT Field Goal,Mid-Range,3,1,Made,1,11,-25,189
163,002200111,Stephen Curry,3PT Field Goal,Above the Break 3,22,0,Missed,3,2,221,442
885,002200156,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),14,0,Missed,4,5,65,97
220,002200114,Stephen Curry,3PT Field Goal,Above the Break 3,25,0,Missed,1,3,-9,323
939,002200160,Stephen Curry,2PT Field Goal,Restricted Area,1,1,Made,3,10,-97,52
618,002200138,Stephen Curry,3PT Field Goal,Above the Break 3,24,0,Missed,1,7,-192,438
101,002200107,Stephen Curry,3PT Field Goal,Above the Break 3,23,1,Made,2,2,128,305
275,002200118,Stephen Curry,3PT Field Goal,Above the Break 3,32,0,Missed,2,5,204,88
721,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,33,0,Missed,4,0,76,362
730,002200144,Stephen Curry,3PT Field Goal,Above the Break 3,29,1,Made,1,2,-145,138
1307,002200104,Stephen Curry,2PT Field Goal,In The Paint (Non-RA),12,1,Made,2,11,182,151
889,002200156,Stephen Curry,2PT Field Goal,Mid-Range,5,1,Made,4,5,20,112
427,002200127,Stephen Curry,3PT Field Goal,Above the Break 3,30,1,Made,2,0,104,423
1041,002200167,Stephen Curry,2PT Field Goal,Mid-Range,15,0,Missed,2,4,101,181
