event_id,customer_id,session_id,event_type,event_ts,device_type,browser,os,referrer,country,state,ab_variant,is_logged_in,page_depth,latency_ms,dwell_seconds,cart_value_usd,discount_rate,fraud_score,payment_outcome,sequence_num,product_id,category,promo_code
E0001,C002,S002,purchase,2026-05-02 09:00:00,mobile,chrome,windows,email,US,TX,B,true,2,121,31,21,0.03,0.01,none,1,P002,apparel,SAVE5
E0002,C003,S003,add_to_cart,2026-05-03 09:00:00,mobile,safari,ios,email,US,CA,B,true,3,122,32,22,0.03,0.02,none,2,P003,home,NONE
E0003,C004,S004,add_to_cart,2026-05-04 09:00:00,desktop,chrome,macos,google,US,TX,B,true,4,123,33,23,0.03,0.03,none,3,P004,apparel,NONE
E0004,C005,S005,purchase,2026-05-05 09:00:00,mobile,chrome,ios,direct,US,TX,B,true,5,124,34,24,0.03,0.04,approved,4,P005,home,SAVE5
E0005,C006,S006,product_view,2026-05-06 09:00:00,mobile,safari,macos,google,US,WA,B,true,1,125,35,25,0.03,0.05,none,5,P006,home,SAVE5
E0006,C001,S007,product_view,2026-05-07 09:00:00,mobile,safari,macos,direct,US,CA,B,true,2,126,36,26,0.03,0.06,none,6,P007,electronics,NONE
E0007,C002,S008,purchase,2026-05-08 09:00:00,desktop,chrome,ios,direct,US,WA,A,true,3,127,37,27,0.03,0.07,approved,7,P008,home,SAVE5
E0008,C003,S009,page_view,2026-05-09 09:00:00,desktop,safari,macos,email,US,CA,B,true,4,128,38,28,0.03,0.08,none,8,P001,home,NONE
E0009,C004,S010,product_view,2026-05-10 09:00:00,mobile,chrome,macos,direct,US,WA,A,true,5,129,39,29,0.03,0.09,approved,9,P002,home,NONE
E0010,C005,S001,product_view,2026-05-01 09:00:00,mobile,chrome,macos,email,US,CA,B,true,1,130,40,30,0.03,0.1,approved,10,P003,home,SAVE5
E0011,C006,S002,product_view,2026-05-02 09:00:00,mobile,chrome,windows,email,US,WA,B,true,2,131,41,31,0.03,0.11,approved,11,P004,apparel,SAVE5
E0012,C001,S003,purchase,2026-05-03 09:00:00,mobile,safari,macos,email,US,WA,B,true,3,132,42,32,0.03,0.12,approved,12,P005,home,NONE
E0013,C002,S004,product_view,2026-05-04 09:00:00,mobile,safari,macos,google,US,CA,A,true,4,133,43,33,0.03,0.13,none,13,P006,electronics,SAVE5
E0014,C003,S005,add_to_cart,2026-05-05 09:00:00,desktop,chrome,macos,email,US,TX,A,true,5,134,44,34,0.03,0.14,none,14,P007,electronics,SAVE5
E0015,C004,S006,product_view,2026-05-06 09:00:00,mobile,chrome,ios,email,US,CA,B,true,1,135,45,35,0.03,0.15,approved,15,P008,apparel,NONE
