edge_id,from_node_id,from_node_type,to_node_id,to_node_type,relationship,timestamp,order_id,category,customer_segment,edge_strength,price_bucket,region,state,campaign,same_household,prior_interactions,dwell_seconds,product_id,unit_price_usd,quantity,returned_flag,auth_approved
G0001,C002,Customer,P002,Product,PURCHASED,2026-05-02 11:00:00,O0002,electronics,new,0.402,low,NA,TX,organic,false,1,21,P002,16,2,false,true
G0002,C003,Customer,P003,Product,ADDED_TO_CART,2026-05-03 11:00:00,O0003,apparel,returning,0.367,low,NA,TX,organic,false,2,22,P003,17,3,false,true
G0003,C004,Customer,P004,Product,VIEWED,2026-05-04 11:00:00,O0004,electronics,returning,0.277,high,NA,TX,organic,false,3,23,P004,18,1,false,true
G0004,C005,Customer,P005,Product,ADDED_TO_CART,2026-05-05 11:00:00,O0005,home,new,0.082,mid,NA,TX,organic,false,4,24,P005,19,2,false,true
G0005,C006,Customer,P006,Product,PURCHASED,2026-05-06 11:00:00,O0006,electronics,returning,0.444,low,NA,WA,organic,false,5,25,P006,20,3,false,true
G0006,C001,Customer,P007,Product,ADDED_TO_CART,2026-05-07 11:00:00,O0007,home,vip,0.825,low,NA,TX,spring,false,6,26,P007,21,1,false,true
G0007,C002,Customer,P008,Product,VIEWED,2026-05-08 11:00:00,O0008,home,returning,0.293,low,NA,CA,spring,false,0,27,P008,22,2,false,true
G0008,C003,Customer,P001,Product,PURCHASED,2026-05-09 11:00:00,O0009,electronics,new,0.302,low,NA,TX,organic,false,1,28,P001,23,3,false,true
G0009,C004,Customer,P002,Product,PURCHASED,2026-05-10 11:00:00,O0010,apparel,vip,0.797,high,NA,TX,organic,false,2,29,P002,24,1,false,true
G0010,C005,Customer,P003,Product,PURCHASED,2026-05-01 11:00:00,O0011,apparel,vip,0.946,high,NA,CA,spring,false,3,30,P003,25,2,false,true
G0011,C006,Customer,P004,Product,VIEWED,2026-05-02 11:00:00,O0012,electronics,returning,0.626,mid,NA,CA,spring,false,4,31,P004,26,3,false,true
G0012,C001,Customer,P005,Product,ADDED_TO_CART,2026-05-03 11:00:00,O0013,electronics,vip,0.977,mid,NA,TX,spring,false,5,32,P005,27,1,false,true
G0013,C002,Customer,P006,Product,PURCHASED,2026-05-04 11:00:00,O0014,home,vip,0.668,high,NA,TX,spring,false,6,33,P006,28,2,false,true
G0014,C003,Customer,P007,Product,PURCHASED,2026-05-05 11:00:00,O0015,electronics,new,0.5,high,NA,TX,organic,false,0,34,P007,29,3,false,true
G0015,C004,Customer,P008,Product,ADDED_TO_CART,2026-05-06 11:00:00,O0016,apparel,returning,0.314,mid,NA,CA,organic,false,1,35,P008,30,1,false,true
G0016,C005,Customer,P001,Product,VIEWED,2026-05-07 11:00:00,O0017,home,vip,0.871,low,NA,TX,spring,false,2,36,P001,31,2,false,true
G0017,C006,Customer,P002,Product,ADDED_TO_CART,2026-05-08 11:00:00,O0018,apparel,vip,0.263,low,NA,CA,organic,false,3,37,P002,32,3,false,true
G0018,C001,Customer,P003,Product,PURCHASED,2026-05-09 11:00:00,O0019,apparel,vip,0.319,mid,NA,CA,organic,false,4,38,P003,33,1,false,true
G0019,C002,Customer,P004,Product,PURCHASED,2026-05-10 11:00:00,O0020,home,new,0.142,high,NA,WA,spring,false,5,39,P004,34,2,false,true
G0020,C003,Customer,P005,Product,ADDED_TO_CART,2026-05-01 11:00:00,O0001,apparel,new,0.937,high,NA,CA,organic,false,6,40,P005,35,3,false,true
G0021,C004,Customer,P006,Product,ADDED_TO_CART,2026-05-02 11:00:00,O0002,apparel,returning,0.735,high,NA,CA,organic,false,0,41,P006,36,1,false,true
G0022,C005,Customer,P007,Product,PURCHASED,2026-05-03 11:00:00,O0003,home,new,0.259,low,NA,WA,organic,false,1,42,P007,37,2,false,true
G0023,C006,Customer,P008,Product,VIEWED,2026-05-04 11:00:00,O0004,home,new,0.078,mid,NA,WA,organic,false,2,43,P008,38,3,false,true
G0024,C001,Customer,P001,Product,PURCHASED,2026-05-05 11:00:00,O0005,apparel,new,0.125,high,NA,WA,spring,false,3,44,P001,39,1,false,true
G0025,C002,Customer,P002,Product,PURCHASED,2026-05-06 11:00:00,O0006,home,new,0.7,mid,NA,WA,spring,false,4,45,P002,40,2,false,true
G0026,C003,Customer,P003,Product,PURCHASED,2026-05-07 11:00:00,O0007,apparel,vip,0.28,high,NA,CA,organic,false,5,46,P003,41,3,false,true
G0027,C004,Customer,P004,Product,ADDED_TO_CART,2026-05-08 11:00:00,O0008,apparel,returning,0.38,high,NA,TX,organic,false,6,47,P004,42,1,false,true
G0028,C005,Customer,P005,Product,ADDED_TO_CART,2026-05-09 11:00:00,O0009,electronics,vip,0.053,mid,NA,TX,spring,false,0,48,P005,43,2,false,true
G0029,C006,Customer,P006,Product,VIEWED,2026-05-10 11:00:00,O0010,electronics,vip,0.296,mid,NA,WA,spring,false,1,49,P006,44,3,false,true
G0030,C001,Customer,P007,Product,ADDED_TO_CART,2026-05-01 11:00:00,O0011,apparel,returning,0.908,high,NA,CA,organic,false,2,50,P007,45,1,false,true
