Country,Age,EdLevel,DevType,OrgSize,RemoteWork,YearsCode,YearsCodePro,NumLanguages,AISearch,AICode,JobSat,ConvertedCompYearly
United Kingdom,25-34 years old,Associate's degree,Back-end developer,100-499,Hybrid,7,3,9,0,1,6,78500.0
Brazil,55-64 years old,Master's degree,Full-stack developer,20-99,Fully remote,25,21,5,1,0,6,58200.0
United States,35-44 years old,Master's degree,Data/business analyst,"10,000 or more",In-person,11,11,5,1,1,8,159200.0
India,35-44 years old,"Professional degree (JD, MD, etc.)",Back-end developer,100-499,Hybrid,15,15,3,1,1,4,41700.0
Russia,25-34 years old,Master's degree,Full-stack developer,Just me,In-person,8,7,3,1,1,9,32600.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,2-9 employees,In-person,7,6,4,1,1,6,165100.0
India,18-24 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,20-99,Hybrid,3,1,3,1,0,8,
India,45-54 years old,Master's degree,Full-stack developer,2-9 employees,Hybrid,18,16,3,1,0,7,31200.0
India,35-44 years old,Master's degree,Front-end developer,"10,000 or more",Hybrid,16,14,3,1,1,2,27600.0
United Kingdom,35-44 years old,High school/GED,DevOps/SRE/platform engineer,"10,000 or more",Fully remote,9,9,1,0,0,7,88900.0
Italy,18-24 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,10,8,3,1,0,6,61400.0
India,55-64 years old,Master's degree,Front-end developer,"1,000-4,999",Hybrid,30,30,2,1,1,7,51000.0
Brazil,45-54 years old,Bachelor's degree,Data scientist/ML engineer,"1,000-4,999",Fully remote,22,18,5,1,1,8,81900.0
Poland,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",Hybrid,6,3,2,1,1,5,40100.0
Canada,25-34 years old,Some college,Full-stack developer,"10,000 or more",Fully remote,9,5,4,1,1,1,66100.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,4,4,5,1,1,5,97700.0
United Kingdom,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,"10,000 or more",In-person,8,8,2,1,1,4,133400.0
Sweden,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",Hybrid,9,6,4,0,1,6,103900.0
India,25-34 years old,Bachelor's degree,Full-stack developer,Just me,Hybrid,4,3,6,1,1,4,24200.0
France,25-34 years old,Master's degree,Full-stack developer,100-499,Fully remote,12,11,1,1,1,3,118600.0
Sweden,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"1,000-4,999",In-person,13,12,5,1,0,9,100500.0
Netherlands,18-24 years old,Associate's degree,Back-end developer,100-499,Hybrid,6,4,3,0,1,4,95500.0
Brazil,25-34 years old,Some college,Data scientist/ML engineer,"10,000 or more",Hybrid,4,3,2,1,0,6,37800.0
Sweden,25-34 years old,Bachelor's degree,Full-stack developer,"5,000-9,999",Hybrid,8,6,3,0,0,1,68800.0
United States,25-34 years old,Master's degree,Data/business analyst,500-999,Fully remote,8,6,4,1,1,8,173500.0
Netherlands,35-44 years old,Master's degree,Data scientist/ML engineer,Just me,Fully remote,7,6,1,1,1,7,
India,25-34 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,12,11,3,1,1,9,
India,25-34 years old,Bachelor's degree,Front-end developer,20-99,In-person,12,9,2,1,0,2,46400.0
United Kingdom,35-44 years old,Master's degree,Full-stack developer,20-99,Hybrid,14,11,1,1,1,4,124300.0
United States,18-24 years old,Some college,Back-end developer,500-999,In-person,2,0,1,1,1,5,144800.0
India,35-44 years old,Bachelor's degree,Front-end developer,2-9 employees,Hybrid,16,13,3,0,1,9,39800.0
United States,25-34 years old,Bachelor's degree,Back-end developer,Just me,Hybrid,7,5,4,1,0,6,129800.0
United States,18-24 years old,Some college,Front-end developer,100-499,Hybrid,3,3,1,1,1,4,131000.0
India,55-64 years old,High school/GED,Full-stack developer,"5,000-9,999",Hybrid,31,29,7,1,1,9,34500.0
Netherlands,55-64 years old,Bachelor's degree,Data scientist/ML engineer,2-9 employees,Hybrid,32,30,3,1,0,5,95500.0
United States,35-44 years old,High school/GED,Back-end developer,"10,000 or more",Hybrid,19,16,4,1,1,6,171200.0
United Kingdom,25-34 years old,Some college,Data scientist/ML engineer,100-499,Hybrid,7,7,5,1,1,8,106100.0
Poland,18-24 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,4,0,5,1,0,6,42100.0
India,35-44 years old,High school/GED,Back-end developer,500-999,Hybrid,20,16,6,1,0,1,23700.0
Ukraine,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",In-person,14,10,3,1,1,10,57100.0
Spain,18-24 years old,Some college,Back-end developer,100-499,Fully remote,11,11,11,1,1,5,76200.0
India,25-34 years old,Bachelor's degree,Back-end developer,"1,000-4,999",Fully remote,3,2,3,1,1,5,38700.0
Italy,18-24 years old,Master's degree,Back-end developer,"5,000-9,999",Fully remote,2,2,1,1,0,4,62300.0
France,45-54 years old,Bachelor's degree,Engineer (other),"5,000-9,999",Hybrid,17,14,2,1,0,4,
India,25-34 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,9,7,3,1,0,7,25600.0
France,35-44 years old,Some college,Data scientist/ML engineer,"1,000-4,999",Hybrid,12,10,4,1,1,10,134000.0
France,25-34 years old,Bachelor's degree,Front-end developer,"10,000 or more",In-person,14,11,6,1,1,8,160000.0
Canada,25-34 years old,Some college,Back-end developer,"1,000-4,999",Hybrid,6,3,5,0,1,8,83800.0
Brazil,25-34 years old,High school/GED,Front-end developer,"10,000 or more",Fully remote,2,0,4,1,1,6,31800.0
India,25-34 years old,Master's degree,DevOps/SRE/platform engineer,100-499,In-person,5,4,4,1,1,9,
Italy,55-64 years old,"Professional degree (JD, MD, etc.)",Back-end developer,20-99,Hybrid,23,22,3,0,1,7,64400.0
Spain,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,15,14,7,1,1,7,162200.0
Poland,55-64 years old,High school/GED,Full-stack developer,100-499,Hybrid,25,22,5,0,1,10,93100.0
United States,45-54 years old,Master's degree,Front-end developer,"10,000 or more",Hybrid,22,20,2,1,1,7,147400.0
Canada,35-44 years old,High school/GED,Back-end developer,"10,000 or more",Fully remote,8,6,6,1,1,9,71300.0
Brazil,45-54 years old,Master's degree,Back-end developer,"5,000-9,999",Hybrid,21,19,2,1,1,7,46100.0
Spain,18-24 years old,Bachelor's degree,Front-end developer,"10,000 or more",Fully remote,6,6,4,1,1,4,46700.0
Ukraine,25-34 years old,Bachelor's degree,Back-end developer,20-99,Hybrid,6,6,1,1,1,10,42500.0
Ukraine,18-24 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,4,0,2,1,1,8,27200.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,20-99,In-person,5,5,1,0,1,4,39000.0
Russia,25-34 years old,Master's degree,Front-end developer,2-9 employees,In-person,6,5,5,1,1,8,52700.0
United States,25-34 years old,Bachelor's degree,Back-end developer,"1,000-4,999",Hybrid,7,6,7,1,1,6,180700.0
India,45-54 years old,Master's degree,Back-end developer,100-499,Hybrid,17,16,1,1,1,9,55000.0
United States,25-34 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,8,7,6,1,1,5,173000.0
Russia,25-34 years old,Master's degree,Data scientist/ML engineer,100-499,Hybrid,4,0,6,0,1,10,54900.0
Ukraine,25-34 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",Fully remote,4,3,1,1,1,5,42800.0
India,25-34 years old,High school/GED,Full-stack developer,2-9 employees,In-person,7,4,3,1,1,10,22400.0
India,35-44 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,17,14,3,1,0,8,27900.0
Italy,18-24 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"5,000-9,999",Hybrid,5,2,5,1,1,10,77800.0
United Kingdom,65 years or older,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,"1,000-4,999",In-person,31,31,7,1,1,8,176700.0
Germany,35-44 years old,High school/GED,Data scientist/ML engineer,20-99,Fully remote,11,9,4,1,1,8,84100.0
Germany,25-34 years old,Associate's degree,Full-stack developer,"5,000-9,999",Fully remote,10,6,1,1,1,3,81000.0
Brazil,18-24 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,100-499,Fully remote,4,1,5,1,0,1,48900.0
Sweden,35-44 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",In-person,13,10,1,1,1,3,93800.0
India,35-44 years old,Bachelor's degree,Full-stack developer,500-999,Hybrid,12,11,1,1,1,6,27900.0
United States,35-44 years old,Some college,Mobile developer,10-19,Hybrid,17,14,3,0,1,6,212500.0
United States,35-44 years old,Master's degree,DevOps/SRE/platform engineer,2-9 employees,Fully remote,11,10,4,1,1,4,173600.0
United States,18-24 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Hybrid,2,1,5,1,0,2,160000.0
United Kingdom,25-34 years old,Some college,Back-end developer,"10,000 or more",Hybrid,14,12,2,0,0,8,81900.0
Ukraine,18-24 years old,Associate's degree,Back-end developer,100-499,Fully remote,0,0,4,0,1,4,25900.0
Brazil,45-54 years old,"Professional degree (JD, MD, etc.)",DevOps/SRE/platform engineer,"5,000-9,999",Fully remote,15,14,10,1,1,10,62300.0
Italy,35-44 years old,Master's degree,Front-end developer,500-999,Fully remote,15,14,5,1,1,3,62300.0
Russia,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Hybrid,5,3,6,1,1,6,28600.0
Germany,18-24 years old,Bachelor's degree,Back-end developer,20-99,Hybrid,2,1,2,0,1,7,83800.0
Germany,25-34 years old,"Professional degree (JD, MD, etc.)",DevOps/SRE/platform engineer,2-9 employees,In-person,7,3,7,1,0,5,122500.0
Canada,25-34 years old,Master's degree,Mobile developer,"5,000-9,999",Fully remote,4,4,2,1,1,7,118800.0
